"text";"gold";"observed";"reason_category"
"Agreed. My wife is a babe too. I remember after our third child was born she went a while without shaving her underarms. Not unattractive in the least. Same beautiful blonde shade as her pussy hair.";"3. animosity";"2. derogation";"The comment objectifies the woman's body and includes explicit and demeaning descriptions."
"If you said it it would be a lie. You lack honor. Clearly you are a female.";"2. derogation";"2. derogation";"The comment explicitly derogates women by suggesting that being female is synonymous with lacking honor and being dishonest."
"NEW TIDE POD CHALENGE---liberal women shud shove them up there VAGINA an see how long it takes 4 it 2 melt,-GAY Liberals shud stick it up there ass 4 the same reason,-";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains incitement to harm women by encouraging them to insert harmful substances into their bodies."
"You can't bargain attraction but you can tell people to get a reality check. If women expect a Ferrari on a 2001 Toyota Camry budget then they need a wake-up call.";"3. animosity";"3. animosity";"The comment expresses implicit sexism by suggesting that women have unrealistic expectations and need a ""reality check,"" which perpetuates negative stereotypes about women"
"Well, they define rape so women *can't* rape men. But I don't take my morality from feminists.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment denies the existence of gender discrimination by suggesting that feminists have manipulated the definition of rape to exclude women as perpetrators, thereby justifying"
"Shut your bitchass mouth lady. You clog up my gab feed";"3. animosity";"2. derogation";"The comment explicitly derogates and insults the woman by using demeaning language."
"so curious,u know the globalist news covering the same whore cases about the women, yeah u know to victimize the men to run their thievery world wide as always these idiots coordinating these trash and u know women re sometimes disgusting whores";"2. derogation";"2. derogation";"The comment explicitly derogates and insults women by using demeaning language and negative stereotypes, such as calling them ""disgusting whores."""
"In L/S dressed up as Anne and let me beat her with a Der Spiegel newspaper while spraying her with Lysol i would pay good money for that";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses a desire to inflict physical harm and humiliation on a woman, which falls under threats, plans to harm, and incit"
"so they confirm being a women means being a hole. sexist pig vice! REEEEEEEE";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes women by reducing them to a body part and using insulting language."
"This must have been going on for such a long time that women have actually evolved their evil ways through the millenia.";"2. derogation";"2. derogation";"The comment explicitly derogates women by describing them as having ""evolved their evil ways,"" which is a strong negative emotive statement and stereotype"
"The boys should be killed. OK, now that we have that out of the way, why is a girl meeting two boys in a ditch to buy a knife? I mean, let's not lose sight of that. This was three useless people meeting up and one got the worst of it.";"4. prejudiced discussions";"1. threats, plans to harm and incitement";"The comment contains a threat of serious harm and violence against boys, which is a form of incitement."
"His frame is kinda bad, it looks like he is an Ectomorph. he has to eat a shit ton to not look like a stick bug thats why the girls bitch everyone craves the fit Endomorph body type the most";"3. animosity";"2. derogation";"The comment derogates women by using the term ""bitch"" in a demeaning manner and objectifies body types, implying that women crave"
"Yes, normal women want to be dominated. Social scientists call it female hypergamy. And it is why women make bad bosses for men, generally speaking.";"2. derogation";"3. animosity";"The comment expresses implicit sexism and stereotypes about women, suggesting that women inherently want to be dominated and are generally bad bosses for men."
"Those who are trying to make it big in business. Having attractive female workers. These situations can happen. But in the end. It will all come back to you. Either she records you or blackmails your sorry ass. There's no happy endings.";"2. derogation";"4. prejudiced discussions";"The comment suggests that women in the workplace are likely to engage in deceitful behavior such as recording or blackmailing their employers, which just"
"I'm not repeating it...you smelly Jew hating Nazi cunt...guess...what's going to happen to you now you filthy cunt ..time to mute another fake Jew hating Nazi!!";"3. animosity";"1. threats, plans to harm and incitement";"The comment contains explicit threats and incitement to harm, using highly aggressive and violent language."
"maybe it's just your brain asking you... hey are you over this bitch yet or not? If you're not it will know if you're spending a lot of time thinking about her. Just remind your brain you have better things to worry about.";"2. derogation";"2. derogation";"The comment uses derogatory language by referring to a woman as a ""bitch,"" which is demeaning and insulting."
"Nah this is all on Hamback and stool pigeon. No one forced Hamback to fuck his mother in law and no one forced stoolie to shoot his mouth off and act like an angry woman. If they lack that much discipline its for the best they are no longer leaders.";"3. animosity";"2. derogation";"The comment includes derogatory language by comparing a man's behavior to that of an ""angry woman,"" which demeans and insults women by implying"
"Lol being an ugly dyke and an annoying jew are plenty enough reason to find her unwatchable.";"3. animosity";"2. derogation";"The comment explicitly derogates and insults a woman by using demeaning and offensive language, including negative descriptions and stereotypes."
"If you don't want your mother fucked, keep her off the streets";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains a threat of sexual harm and incitement to violence against women."
"Literally what I would have done. FORCE her to see the man that you are, and force her to see that she can be dropped in a heartbeat for other vagina. Odds are, this probably would have straightened her up before any ""therapy"".";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains incitement to harm by suggesting forceful actions to control and manipulate a woman."
"Dude just kill her. I would just take out my 45. Kill her on the property thinking it was an intruder. Sorry if I'm so cold but the stronger ones win in life.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains explicit threats and incitement to harm and kill a woman."
"The chap on the right is Mussolini (Italys Fascist Dictator) ,the thing top left should have been aborted, the two blokes snogging should be hung and the fat bitch with the ""I'm a Fucking cunt"" T-Shirt. Has never been fucked in her cunt.";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains explicit threats and incitement to harm, such as suggesting that individuals should be hung and dehumanizing language that could inc"
"Get packing you miserable freeze-dried old Kike cunt.";"3. animosity";"2. derogation";"The comment contains explicit derogation and dehumanization, using highly offensive and insulting language directed at a woman."
"Damn now i have an idea. Making a fake Chad account and getting multiple roasties emotionally invested and then breaking their hearts, if they even have one. I shall find out for SCIENCE.";"4. prejudiced discussions";"1. threats, plans to harm and incitement";"The comment expresses a plan to emotionally harm women by deceiving them and breaking their hearts."
"Why is that redhead feminist cunt in the picture? What has that old spinster got to do with gaming?";"2. derogation";"2. derogation";"The comment contains explicit derogation and demeaning language towards women, using offensive terms and negative stereotypes."
"Very occasionally a feminazi is just too pretty to really make a great attempt at looking like a trained monkey. Once she does a few rounds of the cock carousel and the hygiene starts to go, doesn't last long.";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes women by using terms like ""feminazi,"" comparing them to ""trained monkeys,"" and making"
"Bless you, fran' :3. May you see a man tell a bitching, screaming girlfriend to fuck herself and go across the street right into a brothel as her useless ass gawks. Bless you.";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains a wish for a man to tell a woman to ""fuck herself"" and then go to a brothel, which implies a"
"[USER] We will make her life and her supporter's lives a living hell... Aww, who am I kidding? We'll do it either way.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses intent to inflict serious harm and violence against a woman and her supporters."
"Forgot about the part where it says ""gives women the Gina Tingles"". Women love abusive sadistic killers such as Ted Bundy and Charles Manson. They run Dark Triad Game on everyone and have an abundance mentality.";"2. derogation";"2. derogation";"The comment derogates women by suggesting they are attracted to abusive and sadistic killers, which is a negative stereotype and demeaning generalization."
"April 25, 2018 whore (n) Prostitute. √ Person considered sexually promiscuous. √ Person having compromised principles for personal gain. √ Kamala Harris is a shoo-in for Dems in 2020 but what about her controversial past? [URL]";"2. derogation";"2. derogation";"The comment explicitly derogates and insults Kamala Harris by calling her a ""whore"" and making negative insinuations about her character."
"I have to admit, the dual tattoos of Haley Joel Osment had me laughing. Then she broke some bitches neck. Things were getting pretty interesting in that gif";"3. animosity";"1. threats, plans to harm and incitement";"The comment includes a reference to breaking someone's neck, which implies serious harm and violence against women."
"single moms + the state = don't need no wheat bitch. let them rot with their miserable life, could care less.";"2. derogation";"2. derogation";"The comment explicitly derogates and demeans single mothers, expressing strong negative emotive statements and wishing harm upon them."
"F - FACE: Has it fallen on one side? A - ARMS: Can they raise them? S - SPEECH: Is it slurred? T - TIME... to get her knickers down. The rohypnol has kicked in.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains a clear threat and incitement to sexual harm, referencing the use of rohypnol to incapacitate a woman."
"Sounds like the only sensible thing to do is don't let Male or female brown people ever see or get near white women. The female is going to get insanely jealous and the Male is going to try to rape her... Not a good situation.";"3. animosity";"2. derogation";"The comment contains derogatory and dehumanizing stereotypes about both women and men, suggesting that women are inherently jealous and men are inherently violent."
"That hug could turn into a false sexual assault or rape conviction down the road....this is damn good advice for men...never touch any girl or woman....let them wither on the vine from lack of attention.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment denies the existence of discrimination and justifies sexist treatment by suggesting that men should avoid women to protect themselves from false accusations, which perpet"
"Men need women like hemorrhoids and parasites to live happily.";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes women by comparing them to hemorrhoids and parasites, which are negative and demeaning descriptions."
"AWALT. The guy had social status, so she attached to it instantly.";"2. derogation";"3. animosity";"The comment expresses a stereotype about women being attracted to social status, which is a form of implicit sexism."
"I'm getting older and I can't keep doing that grind to spin plates / seek out new pussy. I want to be with a woman long term, but want to learn how to avoid this issue from getting in the way.";"3. animosity";"2. derogation";"The comment objectifies women by referring to them as ""new pussy"" and uses derogatory language to describe relationships with women."
"The West treats women like small children, i hate the beta males as much as the low IQ herd females.";"2. derogation";"2. derogation";"The comment explicitly derogates and insults women by calling them ""low IQ herd females"" and comparing them to small children."
"Bad for girls - these strategies do not create attraction, but it is fantastic advice when applied to other men. Buy it today. [[URL]";"3. animosity";"3. animosity";"The comment expresses implicit sexism by suggesting that certain strategies are ineffective for attracting women but are useful for attracting men, implying a stereotype about gender behavior"
"It is highly unlikely that female on male rape will ever be taken seriously. It's Bunker Hill.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment denies the seriousness of female-on-male rape, which falls under prejudiced discussions by justifying gender inequality and excusing mistreatment"
"Wives and girlfriends cheating is violence against the man because they are giving away the resources invested in her wellbeing. Sadly our society denies that men are victims in any way because woke leftists need an enemy to sell security.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment denies the existence of discrimination against women and justifies sexist treatment by framing men as the true victims, which aligns with the ideology of"
"Yeah because men are so picky. Dumb fucking whores and numales.";"3. animosity";"2. derogation";"The comment explicitly derogates and insults women by using demeaning language and negative descriptions."
"Hoochie mama";"2. derogation";"2. derogation";"The comment uses a derogatory term to demean and insult women."
"Step on her head and shoot her! That is the only way to rid society of these creeps.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains explicit threats and incitement to physical harm against women."
"Thots and roasties only exist because of income inequality. Imagine being bluepilled and still claiming you're a blackpilled incel. Then again, weren't you a weeb? lmao";"4. prejudiced discussions";"2. derogation";"The comment uses derogatory terms like ""thots"" and ""roasties"" to demean and insult women, and it includes negative stereotypes"
"I cope with it like I'm imagining punching her in the face.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses intent to inflict physical harm against a woman."
"These BP stories are gonna end up giving me a brain tumor or an aneurysm or something. From the rage bubbling inside me when I see pussies letting women get away with murder";"3. animosity";"1. threats, plans to harm and incitement";"The comment expresses a desire for harm and violence against women, indicating a serious threat."
"Sugar and Spice and women are never nice.";"2. derogation";"2. derogation";"The comment derogates women by using a negative stereotype and demeaning language."
"""Listen I'm not shaming people for their looks, but I am though. Give an ugly guy a chance, he thinks he rules the world"" I know this is not very Christian but her head would look nicely on a spike";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains a threat of physical harm by suggesting that a woman's head would look nicely on a spike."
"It's always about me me me me with women.";"2. derogation";"3. animosity";"The comment expresses a stereotype about women being self-centered."
"Rape is an inextricable part of women's history. Your rape fantasy thinly disguised as sarcasm is testament to that.";"3. animosity";"1. threats, plans to harm and incitement";"The comment references rape in a manner that could be seen as threatening and inciting harm against women."
"If the ass is as spectacular as you say it is and you get another opportunity with her, consider yourself blessed by the pussy gods. Most likely scenario is that that door has closed, accept that you fucked up and do better next time.";"3. animosity";"2. derogation";"The comment objectifies women's bodies and uses derogatory language to describe them, which falls under explicit derogation and dehumanization."
"she is such a cunt however if putin was smart he would not go on her show or nbc";"2. derogation";"2. derogation";"The comment explicitly derogates and insults a woman using a highly offensive term."
"Sadly most women love themselves a good slave....and most men oblige and submit out of weakness.";"3. animosity";"4. prejudiced discussions";"The comment justifies sexist treatment by suggesting that women desire subservient men and that men comply out of weakness, which perpetuates harmful"
"Fuck that cunt. She's in hell alright. Ill pray she's suffering for eternity.";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains explicit threats and incitement of harm, wishing eternal suffering on a woman."
"Of course I’m judgemental. If you can talk about a someone that you haven’t even meet to its fair that I get to judge you isn’t it. Or do you want to be exempt from those standards. Like a women wants.";"2. derogation";"4. prejudiced discussions";"The comment justifies judgmental behavior by implying that women want to be exempt from standards, which denies the existence of discrimination and justifies sexist"
"Gotta say I disagree with this sentiment, Rollo’s original “rejection is better than regret” applied to making the approach and talking to women, not getting married. Man up and marry those sluts";"3. animosity";"2. derogation";"The comment uses derogatory language by referring to women as ""sluts,"" which explicitly demeans and insults them."
"This is the kind of guy that'll make a series of bad decisions involving women and crime, end up in jail, and then keep on virtue signaling that he hates guys who hit women. Then he'll be made someone's bitch for being such a weak little bitch.";"3. animosity";"2. derogation";"The comment contains derogatory language and insults directed at a man, but it also implicitly demeans women by suggesting that involvement with women leads to"
"Mollie was white trash, white women that reject non white's sexual advances are racist, and therefore their lives should be forfeited.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains threats and incitement to harm women, specifically suggesting that their lives should be forfeited."
"Abused for four years, yet she marries him after 2.5 years of abuse? If it were true, then she's a f.....g masochistic moron.";"4. prejudiced discussions";"2. derogation";"The comment explicitly derogates and insults the woman by calling her a ""f.....g masochistic moron,"" which is a demeaning"
"She fucked the director to further her career, just like all these #MeToo bitches. End of thread.";"2. derogation";"2. derogation";"The comment explicitly derogates and insults women by making demeaning and negative statements about their character and actions."
"Pimps need thots?";"3. animosity";"2. derogation";"The comment derogates women by referring to them as ""thots,"" which is a demeaning and objectifying term."
"Poisoned drinks fall under the category of ""real rape"" (violent attacker). No grey area there. I guess one could discuss if women should go drinking at bars alone.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment justifies and excuses the mistreatment of women by suggesting that women should avoid drinking at bars alone to prevent being raped, thereby denying"
"Let's sum this up: Jews get the oven. Jew lovers get the rope. Single mothers get the rope. Freudian psychologists get the oven. Merchant thirsters are niggers.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains explicit threats of serious harm and violence against women, specifically single mothers, by stating they ""get the rope."""
"But she's a Stacy and she's with a Chad, the way it's supposed to be. The problem is women our looks match think they're only entitled to niggas that look like that";"3. animosity";"2. derogation";"The comment contains derogatory language and stereotypes about women, using terms like ""Stacy"" and ""Chad"" to demean and objectify"
"If you're truecel, you shouldn't be using Tinder or any shit like that. Try a church group irl where women are less corrupted.";"2. derogation";"3. animosity";"The comment expresses implicit sexism by suggesting that women on dating apps are ""corrupted"" and implies that women in church groups are more virtuous"
"They turned Shrinking Ray (A man) into Shrinking Rae (A girl) and turned Mark's GF Amber from a white girl to a black girl, but also made the black version of her really bitchy for some reason.";"3. animosity";"2. derogation";"The comment includes derogatory language by describing a character as ""really bitchy,"" which demeans and insults women."
"Thank you for giving these examples. It seems that whilst helping women gain status society forgot men, which is incredibly sad. I hope society realises its mistakes and sorts them out.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment denies the existence of discrimination against women and suggests that men are the real victims, which falls under the ideology of male victimhood."
"I say MERRY CHRISTMAS to every Mooslime I see! I hope they will act up, but to no avail! A bunch of sissy faggot cowards who rape children and beat up women but will not fight REAL AMERICAN MEN! OORAH BITCHES![USER]";"3. animosity";"1. threats, plans to harm and incitement";"The comment contains threats and incitement to harm, as it expresses a desire for confrontation and violence against a specific group, including derogatory"
"Oh man I'm so sorry. Yep that get's rammed down our throats from the moment we can understand ""Never hit women, NEVER"" And women know this, and they take advantage of it.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment denies the existence of discrimination and justifies sexist treatment by suggesting that women take advantage of societal norms against hitting women."
"It's a fair trade I suppose. While we'll have to pay for the incarnation of yet another rabid sheboon, likely for life she's at least removed another future negroid criminal sperm donor from the pool.";"2. derogation";"2. derogation";"The comment contains explicit derogation and dehumanization of women, using highly offensive and racist language to demean and insult."
