"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"interesse";"fertighaeuf";"werbungkauf";"prodkenn";"gefallen";"kauf";"planzlich";"minuten"
"2245";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"37";"a5";"Werbung";"2";"2";"1";"2";"1";"5";"1";NA
"2250";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"14";"a2";"Influencerin";"1";"1";"1";"2";"1";"5";NA;"1"
"2260";"weiblich";"Nein";"Fachhochschul-/Hochschulabschluss";"27";"01";"a5";"Werbung";"2";"3";"1";"2";"3";"4";"1";NA
"2267";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"15";"a5";"Influencerin";"2";"3";"1";"2";"2";"5";NA;"1"
"2278";"männlich";"Ja";"Abitur, Hochschulreife";"23";"12";"a2";"Werbung";"3";"6";"1";"2";"3";"2";"1";NA
"2284";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"10";"a2";"Influencerin";"2";"3";"1";"2";"2";"3";NA;"1"
"2290";NA;NA;NA;NA;NA;"a2";NA;"2";NA;NA;NA;NA;NA;NA;NA
"2295";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Werbung";"2";"2";"1";"1";"3";"3";"1";NA
"2301";"männlich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Influencerin";"2";"3";"1";"2";"5";"1";NA;"4"
"2308";"männlich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Influencerin";"2";"2";"2";"2";"1";"5";NA;"4"
"2316";"männlich";"Nein";"Abitur, Hochschulreife";"19";"68";"a2";"Werbung";"2";"6";"2";"2";"1";"5";"1";NA
"2332";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a1";"Werbung";"2";"3";"1";"1";"4";"1";"1";NA
"2338";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"31";"13";"a2";"Influencerin";"3";"6";"3";"2";"1";"3";NA;"1"
"2344";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"13";"a4";"Influencerin";"2";"3";"1";"2";"4";"2";NA;"1"
"2350";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"19";"13";"a3";"Werbung";"3";"6";"1";"2";"3";"4";"1";NA
"2356";"männlich";"Ja";"Abitur, Hochschulreife";"19";"10";"a3";"Werbung";"3";"6";"3";"2";"4";"2";"4";NA
"2364";"weiblich";"Ja";"Abitur, Hochschulreife";"27";"33";"a5";"Influencerin";"1";"1";"1";"2";"2";"4";NA;"1"
"2370";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"10";"a2";"Werbung";"2";"3";"1";"2";"2";"3";"1";NA
"2377";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Influencerin";"3";"6";"1";"1";"3";"3";NA;"1"
"2383";"weiblich";"Ja";"Abitur, Hochschulreife";"18";NA;"a3";"Influencerin";"3";"6";"2";"2";"2";"2";NA;"1"
"2390";"männlich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Werbung";"3";"6";"1";"1";"4";"2";"1";NA
