"text";"label";"motivation";"channel";"Author";"Comment";"Published.At";"Likes"
"Es wird vor Kiffern gewarnt?";"negativ";"The comment is negative. It expresses concern or disapproval by mentioning a warning about cannabis users.";"ARTEde";"@FourTwenties";"Es wird vor Kiffern gewarnt?";"2024-04-06T21:31:27Z";1
"Das Problem ist doch, dass die Suchtgefahr steigt, wenn die Droge wirkstoffreicher ist - besonders wenn man nicht weiß was und wie viel drin ist. Die Prohibition fördert den Schwarzmarkt und gefährdet die Geselschaft - Suchterkrankte werden kriminalisiert. Es wurde Zeit für die Legalisierung und es ist wichtig den Wandel die kommenden Jahre objektiv zu bewerten.";"positiv";"The comment is positive. It acknowledges the problems with prohibition and expresses support for legalization, stating that it was time for this change and emphasizing the importance of objectively evaluating the impact in the coming years.";"ARTEde";"@outofcontroll1001";"Das Problem ist doch, dass die Suchtgefahr steigt, wenn die Droge wirkstoffreicher ist - besonders wenn man nicht weiß was und wie viel drin ist. Die Prohibition fördert den Schwarzmarkt und gefährdet die Geselschaft - Suchterkrankte werden kriminalisiert. Es wurde Zeit für die Legalisierung und es ist wichtig den Wandel die kommenden Jahre objektiv zu bewerten.";"2024-04-06T21:15:47Z";2
"Ich bin von Arte eigentlich ganz gut recherchierte Beiträge gewohnt und kann den Fehler nicht ignorieren: Das Konsumieren von THC in Luxemburg ist nach wie vor ILLEGAL. Es werden nur Pflanzen mit einem Höchstwert von 0,2% THC verkauft.
Es ist verwirrend, dennoch kann man nicht sagen, dass der Cannabiskonsum in Lux. legal wäre, wenn der eigentliche Grund, das THC, noch immer quasi illegalisiert ist.";"neutral/ohne Bezug";"The comment is neutral. It discusses the legality of THC consumption in Luxembourg and corrects a perceived error without expressing a clear opinion on cannabis legalization in Germany.";"ARTEde";"@miaschneiders5857";"Ich bin von Arte eigentlich ganz gut recherchierte Beiträge gewohnt und kann den Fehler nicht ignorieren: Das Konsumieren von THC in Luxemburg ist nach wie vor ILLEGAL. Es werden nur Pflanzen mit einem Höchstwert von 0,2% THC verkauft.
Es ist verwirrend, dennoch kann man nicht sagen, dass der Cannabiskonsum in Lux. legal wäre, wenn der eigentliche Grund, das THC, noch immer quasi illegalisiert ist.";"2024-04-06T21:11:54Z";0
"Ja, die Wirtschaft geht den Bach runter,  zu tausende werden gekündigt,  die Rentner wühlen im Müll,ABER jetzt dürfen wir kiffen.Zustände wie in Caracas, dank Olaf Maduro und seine Drogenhandel-Wahlkundschaft SOZIALISMUS nennt man das.";"negativ";"The comment is negative. It expresses strong disapproval and criticism of cannabis legalization, linking it to broader economic and social issues in a sarcastic and critical manner.";"ARTEde";"@tractatus1256";"Ja, die Wirtschaft geht den Bach runter,  zu tausende werden gekündigt,  die Rentner wühlen im Müll,ABER jetzt dürfen wir kiffen.Zustände wie in Caracas, dank Olaf Maduro und seine Drogenhandel-Wahlkundschaft SOZIALISMUS nennt man das.";"2024-04-06T21:10:13Z";1
"This is not an good idea";"negativ";"The comment is negative. It expresses disapproval of the idea.";"ARTEde";"@wernermaverick135";"This is not an good idea";"2024-04-06T21:04:27Z";2
"Das Gesetz wird mit der nächsten Legislaturperiode hoffentlich annulliert. Die Hoffnung ist aber groß, denn eine SPD geführte Regierung wird es vermutlich nicht. Deshalb JETZT CSU/AFD wählen und diesem Spuk ein Ende setzen!";"negativ";"The comment is negative. It expresses opposition to the legalization law and suggests voting for parties that would end it.";"ARTEde";"@Simon-sg7um";"Das Gesetz wird mit der nächsten Legislaturperiode hoffentlich annulliert. Die Hoffnung ist aber groß, denn eine SPD geführte Regierung wird es vermutlich nicht. Deshalb JETZT CSU/AFD wählen und diesem Spuk ein Ende setzen!";"2024-04-06T20:45:51Z";1
"Danke Georg!";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@lemmontree1";"Danke Georg!";"2024-04-06T20:28:23Z";8
"In spanien und Thailand ist der consum auch legal";"neutral/ohne Bezug";"The comment is neutral. It mentions the legality of cannabis consumption in Spain and Thailand without expressing a clear opinion on cannabis legalization in Germany.";"ARTEde";"@manusvlog8914";"In spanien und Thailand ist der consum auch legal";"2024-04-06T20:24:13Z";0
"Viele wissen nicht, nach der Evaluierung des Cannabisgesetzes, also deren Prüfung, ob es aus Sicht der Regierung gewirkt hat oder nicht (Schwarzmarktbekämpfung, Jugendschutz usw.), kann es am Ende immer noch heißen, machen wir wieder rückgängig. Die teilweise Legalisierung ist also noch lange nicht fest unter Dach und Fach. Gesetztestext: Evaluierung der kontrollierten Weitergabe von Cannabis zu nicht-medizinischen Zwecken an Erwachsene innerhalb von vier Jahren, inklusive Zwischenbericht nach 2 Jahren sowie einer ersten Evaluation 18 Monate nach Inkrafttreten und darüber hinaus.";"neutral/ohne Bezug";"The comment is neutral. It discusses the evaluation process and potential outcomes of cannabis legalization without expressing a clear opinion.";"ARTEde";"@The_real_Marcoman";"Viele wissen nicht, nach der Evaluierung des Cannabisgesetzes, also deren Prüfung, ob es aus Sicht der Regierung gewirkt hat oder nicht (Schwarzmarktbekämpfung, Jugendschutz usw.), kann es am Ende immer noch heißen, machen wir wieder rückgängig. Die teilweise Legalisierung ist also noch lange nicht fest unter Dach und Fach. Gesetztestext: Evaluierung der kontrollierten Weitergabe von Cannabis zu nicht-medizinischen Zwecken an Erwachsene innerhalb von vier Jahren, inklusive Zwischenbericht nach 2 Jahren sowie einer ersten Evaluation 18 Monate nach Inkrafttreten und darüber hinaus.";"2024-04-06T20:21:16Z";0
"Das ist keine legalisirum sondern eine verschlimbesserung, legalisirum wäre alles legal zu machen und nicht so ein Mumpitz man man man man man. Typisch deutsch zum heulen!";"negativ";"The comment is negative. It expresses disapproval and frustration towards the way cannabis legalization is being handled, using phrases like 'verschlimbesserung' (worsening improvement) and 'typisch deutsch zum heulen' (typically German, makes you want to cry).";"ARTEde";"@dezogo";"Das ist keine legalisirum sondern eine verschlimbesserung, legalisirum wäre alles legal zu machen und nicht so ein Mumpitz man man man man man. Typisch deutsch zum heulen!";"2024-04-06T20:00:32Z";0
"Endlich ist es so weit. Schade, dass fast nur im Ausland so positiv berichtet wird.";"positiv";"The comment is positive. It expresses happiness about the legalization ('Endlich ist es so weit') and mentions positive reporting, even though it notes that this is mostly abroad.";"ARTEde";"@Sebii97134";"Endlich ist es so weit. Schade, dass fast nur im Ausland so positiv berichtet wird.";"2024-04-06T19:58:06Z";100
"Wer sich seine Birne vollkiffen will, dann bitteschön, aber nicht mit mir!";"negativ";"The comment is negative. It expresses disapproval and a clear opposition to cannabis use.";"ARTEde";"@a.k.9182";"Wer sich seine Birne vollkiffen will, dann bitteschön, aber nicht mit mir!";"2024-04-06T19:55:28Z";0
"Jugendschutz gibt es nur bei einer Legalisierung. Nicht bei einer Prohibition";"positiv";"The comment is positive. It expresses support for legalization by stating that youth protection is only possible with legalization and not with prohibition.";"ARTEde";"@Calciumchlorid";"Jugendschutz gibt es nur bei einer Legalisierung. Nicht bei einer Prohibition";"2024-04-06T19:27:54Z";8
"wir brauchen shops!";"positiv";"The comment is positive. It expresses a desire for cannabis shops, indicating support for the legalization.";"ARTEde";"@Calciumchlorid";"wir brauchen shops!";"2024-04-06T19:27:16Z";38
"Ist das Tor eigentlich immernoch mit orangener Farbe beschmutzt?";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@ow_lars8780";"Ist das Tor eigentlich immernoch mit orangener Farbe beschmutzt?";"2024-04-06T19:11:37Z";1
"Wer die Drogenproduktion und Verkauf kontrollieren wird, wird sich also schön legal bereichern. Ähnlich wie beim Militär und in den Waffenschmieden...";"negativ";"The comment is negative. It expresses concern and criticism about the potential for legal enrichment through the control of drug production and sales, comparing it to the military and arms industry.";"ARTEde";"@valeriylarchenko9608";"Wer die Drogenproduktion und Verkauf kontrollieren wird, wird sich also schön legal bereichern. Ähnlich wie beim Militär und in den Waffenschmieden...";"2024-04-06T19:04:39Z";0
"Ist leider nur eine teilweise Legalisierung. Das Cannabisgesetz ist ein halbgarer Kompromiss aus UN-, EU- und Nationalrecht. Es hätte von Anfang an die vorgesehenden Maßnahmen aus Säule 2 geben müssen, wie bspw. Fachgeschäfte. Dazu muss das Konsumverbot in Cannabis Clubs und Strafverfolgung von Besitzobergrenzen weg, solange hier keiner mit LKW-Ladungen über die Grenze fährt. Bei Alkohol, Tabak und Medikamenten wird auch nicht so verfahren und das sind Drogen, woran die Menschen kaputt gehen. Es gibt keine Cannabis-Toten. Es kann nicht sein, dass die überlastete Polizei und Justiz sich mit solch einen Blödsinn weiterhin rumärgern muss und Konsumenten weiterhin unter Strafe gestellt werden, das war ja eben nicht Sinn der Sache.";"negativ";"The comment is negative. It expresses criticism and frustration towards the partial legalization of cannabis in Germany, highlighting perceived inconsistencies and issues with the current legislation.";"ARTEde";"@The_real_Marcoman";"Ist leider nur eine teilweise Legalisierung. Das Cannabisgesetz ist ein halbgarer Kompromiss aus UN-, EU- und Nationalrecht. Es hätte von Anfang an die vorgesehenden Maßnahmen aus Säule 2 geben müssen, wie bspw. Fachgeschäfte. Dazu muss das Konsumverbot in Cannabis Clubs und Strafverfolgung von Besitzobergrenzen weg, solange hier keiner mit LKW-Ladungen über die Grenze fährt. Bei Alkohol, Tabak und Medikamenten wird auch nicht so verfahren und das sind Drogen, woran die Menschen kaputt gehen. Es gibt keine Cannabis-Toten. Es kann nicht sein, dass die überlastete Polizei und Justiz sich mit solch einen Blödsinn weiterhin rumärgern muss und Konsumenten weiterhin unter Strafe gestellt werden, das war ja eben nicht Sinn der Sache.";"2024-04-06T18:59:31Z";0
"Klasse Frankreich! Ganz neutral berichtet. Prost und Cons abgearbeitet und keine Meinung eingebracht. Ein Toller Bericht.";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@nicok2648";"Klasse Frankreich! Ganz neutral berichtet. Prost und Cons abgearbeitet und keine Meinung eingebracht. Ein Toller Bericht.";"2024-04-06T18:46:58Z";0
"Die Legalisierung muss dringend wieder Rïckabgewickelt werden. Unfassbar, dass das Gesetz (?) durch Bundesrat und Bundestag ging und auch von unserem Bundespräsident abgesegnet wurde, indem er es unterzeichnete. Unfassbar!";"negativ";"The comment is negative. It expresses strong disapproval and frustration towards the legalization, using words like 'unfassbar' (unbelievable) and suggesting that the legalization should be reversed.";"ARTEde";"@viovion";"Die Legalisierung muss dringend wieder Rïckabgewickelt werden. Unfassbar, dass das Gesetz (?) durch Bundesrat und Bundestag ging und auch von unserem Bundespräsident abgesegnet wurde, indem er es unterzeichnete. Unfassbar!";"2024-04-06T18:45:46Z";2
"Hast Du Haschisch in den Taschen, hast Du immer was zu naschen.";"neutral/ohne Bezug";"The comment is unrelated. It is a playful rhyme about having hashish but does not refer to cannabis legalization in Germany.";"ARTEde";"@David.com88776";"Hast Du Haschisch in den Taschen, hast Du immer was zu naschen.";"2024-04-06T18:45:23Z";3
"Als nicht Konsument, befürworte ich diese Entscheidung. Erwachsene Konsumenten weicher drogen zu Kriminalisieren, ist unverantwortlich.";"positiv";"The comment is positive. It expresses support for the decision to legalize cannabis and criticizes the criminalization of adult consumers of soft drugs.";"ARTEde";"@Jiggidejackjax";"Als nicht Konsument, befürworte ich diese Entscheidung. Erwachsene Konsumenten weicher drogen zu Kriminalisieren, ist unverantwortlich.";"2024-04-06T18:41:58Z";19
"Ische Burgerkohle gude Lewe , Urlaube moche un jetzt kiffe für nigesse! Immer zapp zarapp moche , Scholze gute Monn!";"positiv";"The comment is positive. It expresses approval and enthusiasm for the benefits of legalization, such as enjoying life and vacations, and includes a positive mention of a person (Scholze).";"ARTEde";"@Bbcatch";"Ische Burgerkohle gude Lewe , Urlaube moche un jetzt kiffe für nigesse! Immer zapp zarapp moche , Scholze gute Monn!";"2024-04-06T18:33:52Z";0
"Schön jetzt kann sich die Polizei endlich mal aif richtige Verbrechen konzentrieren anstatt für eine schnelle Karriere ein paar harmlose Kiffer hochzunehmen";"positiv";"The comment is positive. It expresses approval and support for the legalization by highlighting a benefit, which is that the police can focus on real crimes instead of targeting harmless cannabis users.";"ARTEde";"@shakuramaru3855";"Schön jetzt kann sich die Polizei endlich mal aif richtige Verbrechen konzentrieren anstatt für eine schnelle Karriere ein paar harmlose Kiffer hochzunehmen";"2024-04-06T18:27:20Z";0
"Wenn ich mit kriege dass jmd doch da ist darf ich jzt sauer werden";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@charlies.9266";"Wenn ich mit kriege dass jmd doch da ist darf ich jzt sauer werden";"2024-04-06T18:22:11Z";0
"So Rückblick!! 
Mal ehrlich, sehen diese Grinsebacken aus wie Straftäter? Für mich sind das die zweitnettesten Kerle der Stadt weit und breit.";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@FStandsForFun";"So Rückblick!! 
Mal ehrlich, sehen diese Grinsebacken aus wie Straftäter? Für mich sind das die zweitnettesten Kerle der Stadt weit und breit.";"2024-04-06T18:15:04Z";0
"Alles gut. Frag mich nur warum  so viel Wind darum gemacht wird. Konsumiert wird doch schon immer.";"neutral/ohne Bezug";"The comment is neutral. It mentions cannabis legalization but does not express a clear opinion. The commenter is questioning the attention given to the issue, noting that consumption has always occurred.";"ARTEde";"@elmauro4340";"Alles gut. Frag mich nur warum  so viel Wind darum gemacht wird. Konsumiert wird doch schon immer.";"2024-04-06T18:14:08Z";5
"Solcher Scheiß ist in dieser Gesellschaft gar nicht nötig";"negativ";"The comment is negative. It expresses disapproval and criticism towards cannabis legalization, indicating that it is unnecessary in society.";"ARTEde";"@user-hb8fc1mg7v";"Solcher Scheiß ist in dieser Gesellschaft gar nicht nötig";"2024-04-06T17:59:18Z";0
"Mal schauen obs klappt. Wäre schön, wenn mal wieder etwas das aus Deutschland kommt, funktioniert 😘";"positiv";"The comment is positive. It expresses hope and a positive outlook towards something coming from Germany working well, with a positive emoji (😘).";"ARTEde";"@mredneb3573";"Mal schauen obs klappt. Wäre schön, wenn mal wieder etwas das aus Deutschland kommt, funktioniert 😘";"2024-04-06T17:48:37Z";1
"Armes Deutschland!!!!
🤨";"negativ";"The comment is negative. It expresses disapproval or concern about the state of Germany, indicated by the exclamation and the skeptical emoji.";"ARTEde";"@josefilipecardosodiasteixe6983";"Armes Deutschland!!!!
🤨";"2024-04-06T17:18:07Z";3
"GEZ ABSCHAFFEN !!!";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@user-ck1dl3mh8n";"GEZ ABSCHAFFEN !!!";"2024-04-06T16:50:53Z";0
"Es ist NICHT legal! Es ist NUR entkriminalisiert! Legalisierung würde bedeuten, dass man es, genau wie Alkohol und Nikotin, quasi überall kaufen könnte und es keinerlei Einschränkungen beim Besitz gäbe.";"neutral/ohne Bezug";"The comment is neutral. It clarifies the difference between decriminalization and legalization without expressing a clear opinion on cannabis legalization.";"ARTEde";"@orko2027";"Es ist NICHT legal! Es ist NUR entkriminalisiert! Legalisierung würde bedeuten, dass man es, genau wie Alkohol und Nikotin, quasi überall kaufen könnte und es keinerlei Einschränkungen beim Besitz gäbe.";"2024-04-06T16:50:41Z";20
"bisher nicht kosumiert und finde das super sinnvoll

allein wenn man schon die nicht vorhandene schädlichkeit mit dem gefeierten alkohol vergleicht, 
welcher überall zu jederzeit beworben wird, schon aber 16 in unbegrenztten maßen gekauft werden darf 
und man komisch ist wenn man mal kein alkohol trinkt
eigentlich verrückt, dass das jetzt erst auffällt.";"positiv";"The comment is positive. It expresses approval and support for cannabis legalization by comparing it favorably to alcohol and highlighting the sense in the decision.";"ARTEde";"@peace9667";"bisher nicht kosumiert und finde das super sinnvoll

allein wenn man schon die nicht vorhandene schädlichkeit mit dem gefeierten alkohol vergleicht, 
welcher überall zu jederzeit beworben wird, schon aber 16 in unbegrenztten maßen gekauft werden darf 
und man komisch ist wenn man mal kein alkohol trinkt
eigentlich verrückt, dass das jetzt erst auffällt.";"2024-04-06T16:49:25Z";44
"Es wird so wie bei anderen legalen Drogen nicht besonders gut funktionieren";"negativ";"The comment is negative. It expresses skepticism and concern about the effectiveness of cannabis legalization, comparing it to other legal drugs that supposedly do not function well.";"ARTEde";"@danielfabender357";"Es wird so wie bei anderen legalen Drogen nicht besonders gut funktionieren";"2024-04-06T16:25:59Z";0
"Weltweit 276 mio? da kommst aber nicht hin mit....";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@Martin-pw7vj";"Weltweit 276 mio? da kommst aber nicht hin mit....";"2024-04-06T16:17:54Z";2
"1:14 Fehlinformation man kann auch aus Indica Sorten Hasch und Gras herstellen, es gibt zwei Grundsorten eine ist Sativa geprägt (mehr lachen, aufgeweckter, Hungrig und Durstig werden) und die zweite Sorte ist Indica lastig (Schlafen, Muskelentspannend und zum Entspannen). Aus diesen Grundsorten wurden alle andernen Sorten Gekreuzt.";"neutral/ohne Bezug";"The comment is neutral. It provides information about cannabis strains without expressing a clear opinion on cannabis legalization.";"ARTEde";"@manu-tw2sd";"1:14 Fehlinformation man kann auch aus Indica Sorten Hasch und Gras herstellen, es gibt zwei Grundsorten eine ist Sativa geprägt (mehr lachen, aufgeweckter, Hungrig und Durstig werden) und die zweite Sorte ist Indica lastig (Schlafen, Muskelentspannend und zum Entspannen). Aus diesen Grundsorten wurden alle andernen Sorten Gekreuzt.";"2024-04-06T16:13:05Z";0
"Auch wenn es jetzt legal ist es wird trotzdem die Frage sein für die Leute die einen Führerschein haben ich gehöre auch dazu, ob wir aufgrund einer Fahrerlaubnis als Mitglied in einem Cannabis Social Club überhaupt aufgenommen werden oder ob man dafür seine Fahrerlaubnis abgeben muss, was ich sowieso nicht mache.
Ich will ja niemanden Angst machen aber abends kiffen und den nächsten morgen zur Arbeit fahren wird vielleicht als kritisch gesehen.";"neutral/ohne Bezug";"The comment is neutral. It mentions concerns about the implications of cannabis legalization on driver's licenses and work but does not express a clear opinion on the legalization itself.";"ARTEde";"@thuglife6327";"Auch wenn es jetzt legal ist es wird trotzdem die Frage sein für die Leute die einen Führerschein haben ich gehöre auch dazu, ob wir aufgrund einer Fahrerlaubnis als Mitglied in einem Cannabis Social Club überhaupt aufgenommen werden oder ob man dafür seine Fahrerlaubnis abgeben muss, was ich sowieso nicht mache.
Ich will ja niemanden Angst machen aber abends kiffen und den nächsten morgen zur Arbeit fahren wird vielleicht als kritisch gesehen.";"2024-04-06T16:12:59Z";3
"Wie steht ihr zum Freizeitkonsum von Cannabis in Deutschland?";"neutral/ohne Bezug";"The comment is neutral. It asks for opinions on cannabis legalization without expressing a clear opinion itself.";"ARTEde";"@artede";"Wie steht ihr zum Freizeitkonsum von Cannabis in Deutschland?";"2024-04-06T15:59:11Z";102
"Endlich kann die Welt heilen. Ein Schritt in die richtige Richtung :)";"positiv";"The comment is positive. It expresses approval and enthusiasm about the legalization, and includes a positive emoji.";"ARTEde";"@sagichnicht7073";"Endlich kann die Welt heilen. Ein Schritt in die richtige Richtung :)";"2024-04-06T15:58:56Z";2
"Prohibitionen scheitern kläglich, wer das nicht endlich einsieht ist weltfremd, naiv und realitätsverweigernd.";"negativ";"The comment is negative. It contains criticism and disapproval towards those who do not recognize the failure of prohibitions.";"ARTEde";"@hanswurst1125";"Prohibitionen scheitern kläglich, wer das nicht endlich einsieht ist weltfremd, naiv und realitätsverweigernd.";"2024-04-06T15:54:53Z";2
"Diesem Land steht der Untergang bevor";"negativ";"The comment is negative. It expresses a strong disapproval and concern about the future of the country, which can be interpreted as a negative sentiment towards recent changes, potentially including cannabis legalization.";"ARTEde";"@davidgeier85";"Diesem Land steht der Untergang bevor";"2024-04-06T15:53:55Z";0
"Bis die Deppen der CDU das ganze wieder abschaffen sobald sie wieder das Land ""regieren"".";"negativ";"The comment is negative. It expresses frustration and criticism towards the CDU, implying that they would undo the legalization if they come to power.";"ARTEde";"@duschbrauser";"Bis die Deppen der CDU das ganze wieder abschaffen sobald sie wieder das Land ""regieren"".";"2024-04-06T15:45:54Z";1
"Eine neue Studie legt nahe, dass regelmäßige Cannabiskonsumenten möglicherweise besser in der Lage sind, die Gefühle anderer zu verstehen.
Artikel : "" Cannabis Use Linked to Enhanced Empathy "" / NeuroscienceNews / Sara Henning-Stout
Zusammenfassung:  Eine neue Studie legt nahe, dass regelmäßige Cannabiskonsumenten möglicherweise besser in der Lage sind, die Gefühle anderer zu verstehen. Psychologische Untersuchungen in Verbindung mit Bildgebung des Gehirns ergaben, dass Benutzer eine stärkere Konnektivität in Gehirnregionen aufweisen, die mit Empathie verbunden sind. Die Studie, an der 136 Teilnehmer teilnahmen, könnte Auswirkungen auf die Behandlung sozialer Interaktionsdefizite haben.
Herrlich, dit genaue Gegenteil von Alkoholkonsumenten.....     nur ma so nebenbei, 6 % aller Todesfälle weltweit, sind auf Alkohol zurückzuführen.....
und wer labil ist, ist für alles anfällig, da ist es schon besser nen Kiffer zu werden, als Alkoholiker";"positiv";"The comment is positive. It expresses approval and support for cannabis use by comparing it favorably to alcohol consumption and highlighting potential benefits.";"ARTEde";"@gorllik26";"Eine neue Studie legt nahe, dass regelmäßige Cannabiskonsumenten möglicherweise besser in der Lage sind, die Gefühle anderer zu verstehen.
Artikel : "" Cannabis Use Linked to Enhanced Empathy "" / NeuroscienceNews / Sara Henning-Stout
Zusammenfassung:  Eine neue Studie legt nahe, dass regelmäßige Cannabiskonsumenten möglicherweise besser in der Lage sind, die Gefühle anderer zu verstehen. Psychologische Untersuchungen in Verbindung mit Bildgebung des Gehirns ergaben, dass Benutzer eine stärkere Konnektivität in Gehirnregionen aufweisen, die mit Empathie verbunden sind. Die Studie, an der 136 Teilnehmer teilnahmen, könnte Auswirkungen auf die Behandlung sozialer Interaktionsdefizite haben.
Herrlich, dit genaue Gegenteil von Alkoholkonsumenten.....     nur ma so nebenbei, 6 % aller Todesfälle weltweit, sind auf Alkohol zurückzuführen.....
und wer labil ist, ist für alles anfällig, da ist es schon besser nen Kiffer zu werden, als Alkoholiker";"2024-04-06T15:41:23Z";0
"Klar man darf 50g im Monat rauchen aber verliert dann seinen Führerschein und begeht eine Straftat. Fühle mich leider immer noch als Krimineller behandelt, vielleicht sollte ich doch mit Vodka anfangen........";"negativ";"The comment is negative. It expresses frustration and disapproval about the consequences of cannabis legalization, such as losing a driver's license and feeling criminalized.";"ARTEde";"@kevko5374";"Klar man darf 50g im Monat rauchen aber verliert dann seinen Führerschein und begeht eine Straftat. Fühle mich leider immer noch als Krimineller behandelt, vielleicht sollte ich doch mit Vodka anfangen........";"2024-04-06T15:39:23Z";0
"In sichtweite hahhaha";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@lockederfischer4877";"In sichtweite hahhaha";"2024-04-06T15:34:53Z";0
"In der ersten Minute werden schon Cannabis Konsumenten diskriminiert 
""Vor dem Brandenburg Tor wird neuerdings vor Kiffern gewarnt""
man stelle sich vor der Satz wehre ""Vor dem Brandenburg Tor wird neuerdings vor trans sexuellen gewarnt""
Die Leute werden doch auch nicht auf dem Oktoberfest vor besoffene gewarnt 
Also was soll immer dieser unter Ton bei Kiffern diese Leute sind doch total gechillt";"negativ";"The comment is negative. It expresses concern and criticism about the discrimination against cannabis consumers.";"ARTEde";"@DonKohleohne";"In der ersten Minute werden schon Cannabis Konsumenten diskriminiert 
""Vor dem Brandenburg Tor wird neuerdings vor Kiffern gewarnt""
man stelle sich vor der Satz wehre ""Vor dem Brandenburg Tor wird neuerdings vor trans sexuellen gewarnt""
Die Leute werden doch auch nicht auf dem Oktoberfest vor besoffene gewarnt 
Also was soll immer dieser unter Ton bei Kiffern diese Leute sind doch total gechillt";"2024-04-06T15:32:14Z";0
"Wenn Deutschland in ein paar Jahren wirtschaftlich zusammenbricht, merken wir die diktatorischen Regierungsmaßnahmen nicht mehr, weil wir dann alle im Rauschgiftrausch sind.";"negativ";"The comment is negative. It expresses concern and criticism about the potential economic and societal impacts of cannabis legalization in Germany.";"ARTEde";"@ulrichgeorge9492";"Wenn Deutschland in ein paar Jahren wirtschaftlich zusammenbricht, merken wir die diktatorischen Regierungsmaßnahmen nicht mehr, weil wir dann alle im Rauschgiftrausch sind.";"2024-04-06T15:27:18Z";0
"Wird einen der Zoll im Flughafen durchlassen wenn man Gras für den Urlaub in ein Land mitnehmen will wo es noch verboten ist?";"neutral/ohne Bezug";"The comment is unrelated. It asks about taking cannabis to a country where it is still illegal, but does not express an opinion on cannabis legalization in Germany.";"ARTEde";"@meisteri.o.";"Wird einen der Zoll im Flughafen durchlassen wenn man Gras für den Urlaub in ein Land mitnehmen will wo es noch verboten ist?";"2024-04-06T15:25:04Z";0
"Baguette könnt ihr, aber Cannabis müsst ihr noch lernen!";"negativ";"The comment is negative. It criticizes the current state of cannabis legalization in Germany by implying that there is a lack of competence in this area.";"ARTEde";"@kaptnkirk2740";"Baguette könnt ihr, aber Cannabis müsst ihr noch lernen!";"2024-04-06T15:21:06Z";4
"Heute ist zwar erstmal feiern angebracht, aber vergesst nicht, wer nach der nächsten Wahl wieder den Rückwärtsgang einlegen wird...";"neutral/ohne Bezug";"The comment is neutral. It mentions celebrating today but also hints at potential future political changes without expressing a clear opinion on cannabis legalization.";"ARTEde";"@harvelein";"Heute ist zwar erstmal feiern angebracht, aber vergesst nicht, wer nach der nächsten Wahl wieder den Rückwärtsgang einlegen wird...";"2024-04-06T15:01:57Z";9
"Viel Rauch um Nix 😅";"negativ";"The comment is negative. It uses a dismissive phrase 'Viel Rauch um Nix' (Much ado about nothing) and a laughing emoji, indicating a lack of seriousness or approval towards the topic.";"ARTEde";"@dany0o";"Viel Rauch um Nix 😅";"2024-04-06T14:51:51Z";1
"Die Alkohollobby ist am Boden ....

Achtet auch die Umsatzeinbrüche! Ich werd jedenfalls kein Alkohol mehr trinken. Teufelszeug!";"positiv";"The comment is positive. It expresses support for cannabis legalization by criticizing alcohol and indicating a personal shift away from alcohol consumption.";"ARTEde";"@microfx";"Die Alkohollobby ist am Boden ....

Achtet auch die Umsatzeinbrüche! Ich werd jedenfalls kein Alkohol mehr trinken. Teufelszeug!";"2024-04-06T14:51:33Z";2
"Meines Wissens gab es bereits vor der Währungsreform im letzten Jahrtausend Coffie Shops in den Niederlanden. Ich will hier mal viel über journalistische Transparenz schreiben, aber ich musste korrekte Arbeit für meinen Erwerb abliefern. Kann ergo für die GEZ korrekten und transparenten Journalismus verlangen.";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization in Germany at all.";"ARTEde";"@scantrain5007";"Meines Wissens gab es bereits vor der Währungsreform im letzten Jahrtausend Coffie Shops in den Niederlanden. Ich will hier mal viel über journalistische Transparenz schreiben, aber ich musste korrekte Arbeit für meinen Erwerb abliefern. Kann ergo für die GEZ korrekten und transparenten Journalismus verlangen.";"2024-04-06T14:49:03Z";1
"Allein schon der Gestank 🤮";"negativ";"The comment is negative. It expresses disgust towards cannabis, indicated by the phrase 'Allein schon der Gestank' (The smell alone) and the vomiting emoji.";"ARTEde";"@John4Ger";"Allein schon der Gestank 🤮";"2024-04-06T14:45:33Z";0
