"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"tw";"bewegt";"asylver";"spenden";"verantwortung";"medien";"kriminal"
"1925";"divers";"Ja";"Abgeschlossene Lehre/Ausbildung";"25";"50";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"3";"3";"3"
"1938";"divers";"Ja";"Abitur, Hochschulreife";"25";"12";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"1";"4"
"1928";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"31";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"3";"1";"4"
"1947";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"3";"2";"2"
"1949";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"15";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"2";"1";"2";"4"
"1959";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"1";"4"
"1966";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"10";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"2";"4"
"1970";"männlich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"4";"3";"1";"1";"4"
"1981";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"20";"14";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"2";"3";"1";"4"
"1980";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"4";"4";"4";"1";"4"
"2000";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"2";"4"
"1999";"männlich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"1";"1";"1";"4"
"2011";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"3";"4";"3";"2";"2";"4"
"2020";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"14";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"2";"3"
"2013";"männlich";"Nein";"Abitur, Hochschulreife";"21";"57";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"1";"3";"4"
"2030";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"12";"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"1";"2";"1";"3";"2"
"2044";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"19";"12";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"2";"1";"2";"3"
"2042";"männlich";"Nein";"Abgeschlossene Lehre/Ausbildung";"22";"10";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"4";"2";"1";"1";"3";"3"
"2067";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"4";"2";"2";"4"
"2074";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"24";NA;"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"4";"1";"4"
"2080";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"21";"13";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"1";"1";"3"
"2088";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"4";"1";"4"
"2094";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"81";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"2";"3"
"2101";NA;NA;NA;NA;NA;"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"1";"1";"4"
"2106";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"26";"13";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"1";"4"
"2112";"weiblich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"3";"2";"4"
"2119";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"2";"1";"4"
"2130";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"2";"4"
"2136";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"34";"13";"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"1";"1";"2";"2"
"2143";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"15";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"2";"2";"2";"2";"4"
"2153";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"55";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"4";"4"
"2156";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"36";"15";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"1";"4"
"2166";"weiblich";"Nein";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"37";"40";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"3";"3";"3"
"2168";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"3";"2";"4"
"2175";"männlich";"Ja";"Abitur, Hochschulreife";"24";"10";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"2";"3"
"2184";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"3";"3";"3"
"2193";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"1";"4"
"2199";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"30";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"2";"4"
