"text";"VA01_value";"VA01_motivation";"VA02_value";"VA02_motivation";"VA03_value";"VA03_motivation";"hashtag"
"Well, seems we officially have a three-way race for President. Any sane adult who can vote for anyone other than clearly doesnt know a great compromise when they see one. #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #neverbiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Joe Biden as a person, implying that voting for him is not a sane choice. This is a person-based criticism.";"neverbiden"
"The party that I had been in for decades is irrevocably broken thanks to Trump...Actual Conservatives are both #NeverTrump and #NeverBiden Vote your conscience...";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Biden";"The tweet criticizes both Trump and Biden, indicating that neither pro-Trump nor pro-Biden fits here.";"party criticism";"The tweet criticizes the party (Republican) for being broken due to Trump, which falls under party criticism.";"neverbiden"
"Where I stand on the 2024 race: #neverTrump #neverBiden and no I’m not voting for the lunatic RFK jr either…. I don’t need a tin foil hat thank you";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet criticizes both Trump and Biden, and also mentions RFK Jr. negatively. Therefore, it does not fit into either pro-Biden or pro-Trump categories.";"person-based criticism";"The tweet criticizes Trump, Biden, and RFK Jr. as individuals, referring to Trump and Biden with hashtags and calling RFK Jr. a 'lunatic.' This is person-based criticism.";"neverbiden"
"The administration did more for Isreal than the people who voted for them. Biden and Kamala did more for every but US. #100 #BidenHarris2024 #NeverAgain #NeverAgainIsNow #neverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump position.";"position-based criticism";"The tweet criticizes the political opinions and attitudes of Joe Biden and Kamala Harris, suggesting they did more for other countries than the US, but does not refer to a specific action taken by them.";"neverbiden"
"biden\'s bid for victory is in worse shape than hillary in 2016, nobody even likes this dude and she at least she had the first woman thing.\\n\\nthese dems are pretending that #GenocideJoe can overcome and win this thing.\\n\\nlol jfc.\\n\\nbtw trump in a box. #nevertrump #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #nevertrump and #neverbiden, indicating a position that is neither clearly pro-Biden nor pro-Trump.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, stating that 'nobody even likes this dude' and comparing him unfavorably to Hillary Clinton. This is person-based criticism.";"neverbiden"
"WHO in heaven\'s name is donating to the corrupt, failed, senile, war starting,bribe taking, money laundering,tax evading, terrorist sympathizing, lunatic Pres (in name only) #Biden He let in 20M unvetted illegals, destroyed our economy, country & the world. #Trump2024 #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden and support Donald Trump, indicating a pro-Trump position.";"personal attack";"The tweet contains multiple abusive and discriminatory remarks about Joe Biden, criticizing him based on irrelevant personal attributes and using derogatory language.";"neverbiden"
"One thing is for certain, America can\'t AFFORD another #BidenHarris term. #NeverBiden #NeverHarris";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #NeverBiden and #NeverHarris indicate a position against Joe Biden and Kamala Harris, suggesting support for Donald Trump.";"position-based criticism";"The tweet criticizes the political opinions and attitudes of Joe Biden and Kamala Harris, stating that America can't afford another term. However, it does not refer to a specific action taken by them.";"neverbiden"
"Fun Fact: More crackheads voted for Joe Biden than any other presidential candidate in U.S. history. #crackheads #CrackheadsforBiden #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump position.";"personal attack";"The tweet criticizes Joe Biden based on an irrelevant personal attribute, using the term 'crackheads' in a derogatory manner. This constitutes a personal attack.";"neverbiden"
"Want to bet that Israel has no intention of paying to rebuild Palestine. They expect that US citizens will pay the bill for their heinous war crimes! #DefundIsrael #DefundWar #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"party criticism";"The tweet criticizes the basic attitudes and opinions of the Democratic party, particularly in relation to foreign policy and financial support for Israel, without directly criticizing Joe Biden's specific actions or character.";"neverbiden"
"I\'m vegan, transgender, and agnostic. People like me probably vote D+80. That doesn\'t mean I have to! #DemExit #DitchtheDems #DitchtheDemocrats #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize the Democratic Party and Joe Biden, but it does not explicitly support Donald Trump. Therefore, it does not fit neatly into pro-Biden or pro-Trump categories.";"party criticism";"The tweet criticizes the Democratic Party in general, without referring to specific actions or positions of Joe Biden. It fits the category of party criticism.";"neverbiden"
"Hey #FuckYou for these increases.  Your CEOs make record profits as Americans sink & it\'s total #Bullshit you need to raise yr rates. \\n\\nFurthermore #FuckYou at the #WhiteHouse #JoeBiden for yr inflation. We hold you responsible too. #NeverBiden #BidenHarris2024";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump position.";"person-based criticism";"The tweet directly criticizes Joe Biden as a person, holding him responsible for inflation and using strong language to express dissatisfaction. This is person-based criticism.";"neverbiden"
"My voting position when biden has been an option:\\n• 1988 - Hell no\\n• 2008 - Absolutely not\\n• 2020 - Phuck no\\n• 2024 - No phucking way #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, using strong language to express disapproval of him as a candidate in multiple election years.";"neverbiden"
"#GenocideJOe REFUSES to do the right thing.  The reason Israel continues to commit #WarCrimesAndGenocide is Joe Biden supports it. #NeverBiden .  .";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump position.";"action-based criticism";"The tweet criticizes Joe Biden for his actions, specifically his support for Israel, which the author claims leads to war crimes and genocide.";"neverbiden"
"Yes, there are two paths you can go by, but in the long run\\nThere\'s still time to change the road you\'re on. #NeverBiden , #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"Both hashtags #NeverBiden and #NeverTrump are used, indicating a neutral or critical stance towards both candidates.";"not applicable";"The tweet does not provide specific criticism or support for either candidate or their actions, policies, or personal attributes. It is a general statement without clear context.";"neverbiden"
"the reaction i\'m having to #gaza #genocide video is almost exactly the same as my reaction to the police shooting videos when they started hitting the internet.\\n\\nnot into at the git go, seeing it hardens my position against it. f*ck this violence. #ACAB #Gaza #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and there is no indication that the tweet refers to anything other than the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden suggests a position against Joe Biden, indicating a pro-Trump stance.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. The basic attitudes and opinions of Biden's party are criticized, particularly in relation to violence and police actions.";"neverbiden"
"I choose neither. #NeverTrump #neverbiden #SMOD";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Donald Trump and Joe Biden, indicating that the author does not support either candidate.";"not applicable";"The tweet does not provide enough context to classify the criticism according to the given categories. It simply states a rejection of both candidates without further elaboration.";"neverbiden"
"I didn\'t vote for Biden for VP. I didn\'t vote for Biden for President. Heck, I wouldn\'t vote Biden for dog catcher! #BidenforPrison #NeverBiden #BidenforPrison2024";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and clearly refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags used (#BidenforPrison, #NeverBiden, #BidenforPrison2024) criticize Joe Biden, indicating a pro-Trump position.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, suggesting he is unfit for any position, including dog catcher. This is a person-based criticism.";"neverbiden"
"biden\'s senile, trump\'s insane.\\n\\nand with this #genocide biden is senile and insane. #neverbiden #nevertrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Biden and Trump, indicating neither a clear pro-Biden nor pro-Trump stance.";"personal attack";"The tweet contains personal attacks on both candidates, referring to Biden as 'senile' and Trump as 'insane,' which are irrelevant personal attributes and contain abusive remarks.";"neverbiden"
"Any climate advances made by Biden & that he might make if he can be pushed to do so are entirely negated by his proxy war on Gaza. He can’t campaign on being pro-climate w/the genocidal war he has promoted & funded. #neverbiden #greenparty #voteclimate";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet does not clearly support either Biden or Trump. It criticizes Biden but also promotes the Green Party and climate issues.";"action-based criticism";"The tweet criticizes Biden's actions, specifically his involvement in the conflict in Gaza, which is seen as negating his climate advances. This is action-based criticism.";"neverbiden"
"I don’t care if Trump will \\end democracy as we know it\\ (p.s., we live in an oligarchy, not a democracy), after tonight, this country doesn\'t DESERVE a democracy. #NeverBiden #GenocideJoe #SuperBowlMassacre";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #NeverBiden and #GenocideJoe criticize Joe Biden, indicating a pro-Trump position.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, referring to him with derogatory terms like 'GenocideJoe' and expressing a strong negative opinion about his suitability.";"neverbiden"
"\'well-meaning, elderly man with a poor memory.\'\\n\\nThis country deserves better. #neverbiden #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"Both hashtags #neverbiden and #NeverTrump are used, indicating that the author does not support either candidate.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, referring to him as a 'well-meaning, elderly man with a poor memory.' This criticism is based on his character traits and behavior patterns.";"neverbiden"
"Have you ever wondered what you would have done if you lived in Nazi Germany? Well what you are doing now is what you would have done!  Bad things happen when \\good\\ folks do nothing! #GenocideJoe supports @WarCrimesAndGenocide #NeverBiden PERMANENT";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump position.";"personal attack";"The tweet contains a personal attack on Joe Biden, comparing him to Nazi Germany and accusing him of supporting genocide, which are abusive and discriminatory remarks.";"neverbiden"
"It’s the #NeverTrump ’s versus the #NeverBiden ’s in this election… really bad options… but imma stay on the #NeverTrumpTrain because women’s rights matter and I don’t support Russia or dictators";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The tweet uses the hashtag #NeverTrump and expresses a position against Trump, indicating a pro-Biden stance.";"position-based criticism";"The tweet criticizes Trump's political positions, specifically on women's rights and his perceived support for Russia and dictators, but does not refer to specific actions he has taken.";"neverbiden"
"Ever wondered what you would have done if you lived in Nazi Germany.  Well what you are doing now is what you would have done!  Bad things happen when \\good\\ folks do nothing! #GenocideJoe supports @WarCrimesAndGenocide #NeverBiden PERMANENT";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump position.";"personal attack";"The tweet criticizes Joe Biden by comparing him to Nazi Germany and using terms like 'GenocideJoe,' which constitutes a personal attack based on extreme and irrelevant personal attributes.";"neverbiden"
"Last night we saw an old man that felt insulted demand to talk to the manager, make a video proving that all accusations are true and accurate. Nothing more. #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #neverbiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, referring to him as 'an old man that felt insulted' and comparing him to someone demanding to talk to the manager. This is a person-based criticism.";"neverbiden"
"We live in the dumbest country.  \\n\\nWhen meteor? #NeverTrump #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"Both hashtags #NeverTrump and #neverbiden are used, indicating that the author does not support either candidate.";"not applicable";"The tweet does not provide specific criticism of either candidate or their actions, positions, or parties. It expresses a general dissatisfaction without targeting specific attributes or actions.";"neverbiden"
"Oh…this should be good🙄😝😜 #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting support for Donald Trump.";"person-based criticism";"The tweet uses emojis to express disdain for Joe Biden, which can be interpreted as a person-based criticism. The criticism is based on a general negative sentiment towards Biden as a person.";"neverbiden"
"I genuinely don’t care that President Biden mixed up some names.\\n\\nI do care that he’s blowing up babies with our tax dollars. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"action-based criticism";"The tweet criticizes Joe Biden for his actions, specifically the use of tax dollars for military actions. This is an action-based criticism.";"neverbiden"
"I\'m still #neverbiden though I do have personal sympathy for the \\well-meaning, elderly man with poor memory.\\";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #neverbiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, focusing on his memory and age, which are personal attributes. The criticism is factual and suitable for raising doubts about his suitability.";"neverbiden"
"From the latest kickoff, on the Blinken meetings:\\n\\n“Behind closed doors, Blinken emphasized his personal emotional distress over the humanitarian situation in the coastal enclave.”\\n\\nNot just Biden consumed by fear and sentimentality. They all gotta go. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Biden and Blinken on a personal level, suggesting they are consumed by fear and sentimentality, which questions their suitability.";"neverbiden"
"Democrats, you WILL be held responsible if this corpse is re-elected and continues to destroy our country.\\nYOU WILL.\\nI\'ll ensure your children and grands know it\'s ALL ON YOU. They\'ll be cursing an unknown, but I\'ll be letting them all know, IT\'S YOUR FAULT. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden criticizes Joe Biden, indicating a pro-Trump position.";"personal attack";"The tweet contains a personal attack on Joe Biden, referring to him as a 'corpse' and blaming Democrats for his potential re-election. This is an abusive and discriminatory remark.";"neverbiden"
"I have zero fucks to give about Trump when Biden and the Red MAGA Dems keep all his policies in place and push more conservative agenda while blocking any leftist policies\\n\\nPlus, genocide. This isn\'t hard. #NeverBiden #NeverTrump #NeverGenocide";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Biden and Trump, indicating that the author does not support either candidate.";"party criticism";"The tweet criticizes the policies of both parties and their candidates, but it does not focus on specific actions or personal attributes of the candidates. The criticism is more about the general political stance and policies of both parties.";"neverbiden"
"Go with the person that killed less children #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #neverbiden indicates a position against Joe Biden, suggesting support for Donald Trump.";"personal attack";"The tweet criticizes Joe Biden based on an extreme and personal accusation, which can be considered an abusive or discriminatory remark.";"neverbiden"
"In spite of what #MAGA (Republicans) & #BlueMAGA (Democrats) wants to project in their partisan stupidity, I will always be #independent from them both.  Fuck both parties! #NeverTrump & #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet criticizes both Trump and Biden, indicating a stance that is neither pro-Trump nor pro-Biden.";"party criticism";"The tweet criticizes both parties in general, without focusing on specific actions or personal attributes of the top candidates.";"neverbiden"
"This speech from Biden is ridiculous.  He forgets to mention the Senate bill was loaded with Backdoor Amnesty.  The Ukraine aid is also a joke. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"position-based criticism";"The tweet criticizes Biden's political opinions and attitudes, specifically mentioning the Senate bill and Ukraine aid, but does not refer to a concrete action taken by Biden.";"neverbiden"
"Some of you have not seen the images I have seen and it shows. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet implies a criticism of Joe Biden as a person, suggesting that those who support him have not seen certain images that would change their opinion. This is a person-based criticism.";"neverbiden"
"Someone had a great analogy earlier.  Let\'s say Biden has 100,000 votes. Trump has 50,000 votes. I choose to vote for neither.  Does the sum total change? #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden hashtags, indicating a position against both candidates.";"not applicable";"The tweet does not provide specific criticism of either candidate or their actions, positions, or parties. It is more of a general statement about voting.";"neverbiden"
"You can be #NeverTrump Never Trump\\n--- and --- #NeverBiden at the same time never Biden\\n\\nThe two are not exclusive....";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden hashtags, indicating a stance against both candidates rather than supporting one over the other.";"not applicable";"The tweet does not provide specific criticism that fits into the categories of party criticism, position-based criticism, action-based criticism, person-based criticism, or personal attack. It simply states a position against both candidates.";"neverbiden"
"PLEASE, stop choosing between a bunch of superarseholes on and off elections. You, by being their accomplice are responsible for the horrible state of the world. #NeverBiden #nevertrump #neverkennedy";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Biden and Trump, indicating a neutral or anti-establishment stance rather than a clear pro-Biden or pro-Trump position.";"party criticism";"The tweet criticizes the general attitudes and opinions of the political parties and their candidates without focusing on specific actions or personal attributes of the candidates.";"neverbiden"
"Thanks to everyone who is helping me get to 500. I really appreciate it. I still have a little ways to go to reach 500, so please keep \'em coming. I only need 180 more followers to reach my goal #maga #TRUMP2024ToSaveAmerica #NeverNikki #NeverBiden #TrumpWon #WWG1WGA";"unsuitable";"The tweet primarily focuses on the author's personal goal of reaching 500 followers and does not convey a meaningful statement about the current US election campaign.";"Others";"The hashtags used (#maga, #TRUMP2024ToSaveAmerica, #NeverBiden, #TrumpWon) indicate a pro-Trump position.";"not applicable";"The tweet does not contain any criticism or reference to political candidates or their actions. It is focused on the author's personal goal of gaining followers.";"neverbiden"
"The only #BidenBoom I see is the boom in illegal aliens invading our country in droves and the skyrocketing inflation l. #VoteRedToSaveAmerica #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #VoteRedToSaveAmerica and #NeverBiden indicate a pro-Trump position, criticizing Joe Biden.";"action-based criticism";"The tweet criticizes actions taken by Joe Biden, specifically mentioning the increase in illegal immigration and inflation, which are decisions made during his political leadership.";"neverbiden"
"Orange Jesus is trending.  We are not a serious country. #StillWithDeSantis #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Trump and Biden, so it does not clearly support either candidate.";"person-based criticism";"The tweet refers to Trump as 'Orange Jesus,' which is a direct personal criticism based on his appearance and persona. This is a person-based criticism.";"neverbiden"
"DeSantis dropped $150 million in one state and got 21,000 votes.  He is by far the best candidate in this race but it wasn\'t his time - obviously. I\'m not going to spend the next 9 months raging over the unfairness of that and end up with 4 more years of Biden. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting support for a Republican candidate, which aligns with a pro-Trump stance.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. It criticizes the idea of having 4 more years of Biden, which can be seen as a criticism of the Democratic party's basic attitudes and opinions.";"neverbiden"
"If Barack Obama made a reality TV show called Baracko\'s Modern Life, it would be a huge commercial success and draw 20,000,000 viewers.\\n\\nIf Joseph Biden made a reality TV show called Bidin\' Time with Biden, it would be a total flop.\\n\\nBiden is no Obama. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The tweet uses a hashtag that criticizes Joe Biden, indicating a pro-Trump position.";"person-based criticism";"The tweet directly criticizes Joe Biden as a person, comparing him unfavorably to Barack Obama and suggesting he lacks the qualities needed for success.";"neverbiden"
"I thought that our esteemed Commander in Chief was going to retaliate for Iran\'s killing of 3 US soldiers and injuring many more? I guess he\'s giving them a 2 week notice. #NeverBiden #BidensAmerica #bidensucks";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #NeverBiden, #BidensAmerica, and #bidensucks indicate a pro-Trump position, criticizing Joe Biden.";"action-based criticism";"The tweet criticizes Joe Biden's actions (or perceived inaction) regarding a specific event involving Iran. This falls under action-based criticism.";"neverbiden"
"Biden wanting to suddenly fix the border now after he caused the chaos with his policies, and let it go 3 years is no different than him waiting a year to visit East Palestine. It’s an election year and he decided he needed to pander. #NeverBiden , #NeverDems";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden and the Democratic Party, indicating a pro-Trump or Republican position.";"action-based criticism";"The tweet criticizes Joe Biden's actions and decisions during his political leadership, specifically his handling of the border and his delayed visit to East Palestine.";"neverbiden"
"Biden visiting East Palestine OH a year later???!!! What a slap in the face to residents. He can fly all over for his big donors, but couldn’t visit a hurting town not full of Dem elite. . Ole “blue collar Joe”. what a joke.  And people fall for his schtick. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden criticizes Joe Biden, indicating a pro-Trump position.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, questioning his character and behavior patterns, such as prioritizing big donors over visiting a hurting town. The criticism is factual and suitable for raising doubts about his suitability.";"neverbiden"
"The \'Rats trying to get Trump on the ballot may see their plan backfire badly if RFK Jr gets on the ballot in swing states.\\nThe #NeverBiden Dem voters may vote for him instead of Joe, and deny him the plurality, which could conceivably go to Trump.\\nRFK Jr is a wildcard here.";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The tweet suggests a scenario where Joe Biden could lose votes to RFK Jr., which could benefit Donald Trump. This indicates a pro-Trump position.";"party criticism";"The tweet does not directly criticize Joe Biden or Donald Trump but discusses a potential electoral strategy and its implications. It does not fit into the other categories of criticism.";"neverbiden"
"Nothing is going to change as long as we keep voting blue no matter who. \\n\\nWe have to send a message that horrible corporatists can’t win elections for the left. \\n\\nNever Biden. Under ANY circumstances. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden criticizes Joe Biden, indicating a republican position and support for Donald Trump.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, stating 'Never Biden. Under ANY circumstances.' This is a person-based criticism.";"neverbiden"
"Never f,n ever #neverbiden #NeverNikki #neverbigmike #neverdemocrat";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and clearly refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden and other Democratic figures, indicating a pro-Trump position.";"personal attack";"The tweet contains a personal attack, using derogatory language and hashtags to criticize the candidates based on irrelevant personal attributes.";"neverbiden"
"Another thing about Biden, he’s ancient.  I think he’s also showing signs of dementia. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting support for Donald Trump.";"personal attack";"The tweet criticizes Joe Biden based on his age and alleged signs of dementia, which are irrelevant personal attributes and could be considered abusive or discriminatory remarks.";"neverbiden"
"I wish the Democrats had a candidate that was not bought by Israel and paid for with American tax dollars #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Joe Biden as a person, implying he is 'bought by Israel' and 'paid for with American tax dollars,' which questions his integrity and suitability.";"neverbiden"
"Taylor Swift is a CIA asset #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #neverbiden criticizes Joe Biden, indicating a pro-Trump position.";"personal attack";"The tweet makes a personal attack by suggesting that Taylor Swift is a CIA asset, which is an irrelevant personal attribute and not a factual criticism of Joe Biden.";"neverbiden"
"Jesus Henry Christ on a totem pole…picking a Super Bowl team is now like picking a presidential candidate. \\n\\nThey’re both awful. Hope they all lose. #NeverTrump #NeverBiden #Never49ers #NeverChiefs";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden hashtags, indicating a neutral or critical stance towards both candidates.";"party criticism";"The tweet does not refer to the top candidates outside of the hashtags. It criticizes both parties' candidates without specific details, fitting the category of party criticism.";"neverbiden"
"True cons who are Never Trumpers get to work on a viable write in candidate. If that conservative is in reasonable distance of Biden in the RCP average I\'ll vote for them. If not then FJB. Trump it will be. #FJB #Trump2024 #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden (#FJB, #neverbiden) and supports Donald Trump (#Trump2024). Therefore, the author seems to take a republican position and support Donald Trump.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person with the hashtag #FJB (an abbreviation for an offensive phrase). This criticism is based on his character and behavior, making it person-based criticism";"neverbiden"
