"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"n_lesen";"n_swipen";"n_stumm";"n_schliessen";"corona1";"corona2";"corona3";"corona4";"corona5";"corona6";"corona_suchen";"corona_entfolgen";"corona_glaubw";"corona_interesse";"krebs1";"krebs2";"krebs3";"krebs4";"krebs5";"krebs6";"krebs_suchen";"krebs_entfolgen";"krebs_glaubw";"krebs_interesse";"suchen";"entfolgen";"glaubw";"interesse"
"1229";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"13";"a4";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"5";"3";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"3";"3";"2"
"1240";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Kontrolle";"3";"2";"0";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"1";"2";"3";"4";"1";"2";"3"
"1243";"weiblich";NA;NA;"33";NA;"a1";"Kontrolle";"1";"0";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Den Creator stummschalten";"Den Creator stummschalten";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"4";"3";"4";"3";"4";"3";"4"
"1237";"weiblich";"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Corona";"3";"2";"1";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Den Creator stummschalten";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"5";"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"5";"1";"2"
"1255";NA;"Ja";"Abitur, Hochschulreife";"19";NA;"a1";"Kontrolle";"1";"3";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Den Creator stummschalten";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"Weiterswipen";NA;"3";"3";"3";"0";"3";"3";"3"
"1260";NA;"Ja";"Abitur, Hochschulreife";"26";NA;"a5";"Corona";"5";"1";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"3";"3";"3"
"1267";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Corona";"0";"5";"0";"1";"Instagram erst einmal schließen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"4";"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"2";"1"
"1274";"weiblich";"Ja";"Abitur, Hochschulreife";"18";NA;"a1";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"3";"2";"3";"4";"3";"2";"3"
"1282";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"4";"3";"4";"3";"4";"3"
"1289";"männlich";"Ja";"Abitur, Hochschulreife";"26";"13";"a5";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"4";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"3";"2"
"1295";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"04";"a4";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"5";"3";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"3";"3";"2"
"1306";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Kontrolle";"5";"1";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"1";"2";"3";"4";"1";"2";"3";"4"
"1312";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Kontrolle";"5";"1";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"2";"2";"4";"3";"2";"2"
"1319";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Corona";"4";"2";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"3";"3"
"1325";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a4";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"1";"3";"4";"3";"1";"3";"4"
"1334";"männlich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Corona";"1";"4";"1";"0";"Weiterswipen";"Weiterswipen";"Den Creator stummschalten";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"3";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"2";"3";"3"
"1333";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"3";"4";"2";"2";"3";"4"
"1339";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"26";"a5";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"4";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"4";"3";"2"
"1353";"männlich";"Ja";"Anderer Abschluss, und zwar:";"24";"12";"a1";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"4";"3";"4";"3";"4";"3";"4"
"1365";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"10";"a3";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"4";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"2";"3"
"1375";"männlich";"Ja";"Anderer Abschluss, und zwar:";"28";"80";"a3";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"3";"3";"4";"2";"3";"3"
"1381";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"10";"a3";"Corona";"0";"5";"0";"1";"Instagram erst einmal schließen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"5";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"5";"2";"2"
"1387";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"29";"13";"a2";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"5";"5";"4";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"5";"4";"1"
"1393";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"65";"a3";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"3";"4";"2";"3";"3"
"1400";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"2";"4";"3";"4";"2";"4";"3"
"1418";NA;"Nein";"Abitur, Hochschulreife";"23";"13";"a5";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"3";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"3";"3"
"1425";"männlich";"Ja";"Abitur, Hochschulreife";"21";"10";"a3";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"2";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"2";"3";"1"
"1433";NA;NA;NA;NA;NA;"a1";"Kontrolle";"5";"1";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"1";"4";"4";"2";"1";"4";"4"
"1440";"weiblich";"Nein";"Abitur, Hochschulreife";"19";"13";"a2";"Kontrolle";"2";"3";"0";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"2";"3";"3";"3";"2";"3";"3";"3"
"1446";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"14";"a3";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"2";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"2";"3";"3"
"1452";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"33";"a5";"Corona";"3";"3";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"4";"4";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"4";"2"
"1454";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"2";"1";"3";"3";"2";"1";"3"
"1465";"männlich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"1";"4";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"1";"4";"3"
"1472";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"3";"3";"4";"2";"3";"3";"4"
"1479";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"12";"a3";"Corona";"1";"1";"0";"4";"Weiterswipen";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"4";"4";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"2";"2"
"1486";"weiblich";"Nein";"Abitur, Hochschulreife";"21";"13";"a5";"Kontrolle";"0";"3";"0";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Weiterswipen";"Instagram erst einmal schließen";"5";"4";"3";"2";"5";"4";"3";"2"
"1491";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"2";"4";"2";"3";"2"
"1498";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"18";"13";"a4";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"3";"3";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"3";"2"
"1504";"männlich";"Ja";"Abitur, Hochschulreife";"23";"99";"a5";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"2";"3"
"1510";NA;NA;NA;NA;NA;"a1";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"2";"2";"2";"4";"2";"2";"2"
"1517";"männlich";"Ja";"Abitur, Hochschulreife";"24";"14";"a3";"Kontrolle";"2";"0";"0";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"5";"3";"3";"3";"5";"3";"3";"3"
"1523";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"33";"a5";"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"3"
"1529";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"37";"a5";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"4";"2";"3";"4";"4";"2";"3"
"1535";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"2";"2"
"1541";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"10";"a2";"Corona";"6";"0";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"2";"3";"3"
"1550";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"15";"a5";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"3";"3";"2";"2";"3";"3"
"1558";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"40";"10";"a4";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"4";"4";"2";"4";"4";"4";"2"
"1566";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Corona";"2";"4";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"2";"4";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"4";"3";"2"
"1572";"männlich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Kontrolle";"6";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"3";"4";"2";"2";"3";"4"
"1579";"männlich";"Ja";"Abitur, Hochschulreife";"30";"11";"a3";"Corona";"3";"3";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"3";"2";"4";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"2";"4";"3"
"1586";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"14";"a3";"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"4";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"3";"3"
"1595";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a4";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"1";"1";"3";"4";"1";"1";"3";"4"
"1603";"weiblich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"39";"12";"a4";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"5";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"5";"3";"2"
"1611";NA;NA;NA;NA;NA;"a5";"Kontrolle";"0";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0"
"1617";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"12";"a3";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"4";"3";"3";"4";"4";"3";"3"
"1629";"männlich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"4";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"3";"1"
"1636";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"10";"a4";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"3";"2";"4";"3";"3";"2"
"1643";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"48";"a2";"Corona";"3";"3";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"3";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"2";"3"
"1650";"männlich";"Ja";"Abitur, Hochschulreife";"21";NA;"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"3";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"3";"3";"2"
"1652";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"49";"a2";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"3";"2";"3";"4";"3";"2";"3"
"1671";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"19";NA;"a2";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"2";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"2"
"1673";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"3";"4";"2";"3";"3";"4";"2";"3"
"1688";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"2";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"2";"3"
